"id" "y" "x"
"372" 365 10 6.45
"373" 366 144 96.18
"374" 367 118 56.55
"375" 368 220 158.3
"376" 369 87 61.53
"377" 370 216 108.85
"378" 371 66 43.48
"379" 372 63 32.84
"380" 373 85 48.09
"381" 374 51 21.61
"382" 375 130 57.78
"383" 376 333 152.42
"384" 377 154 98.46
"385" 378 414 318.77
"386" 379 25 11.81
"387" 380 321 187.33
"388" 381 164 89.37
"389" 382 17 20.14
"390" 383 8 5.48
"391" 384 218 184.82
"392" 385 230 222.66
"393" 386 23 22.03
"394" 387 79 66.26
"395" 388 255 173.37
"396" 389 612 322.59
"397" 390 37 21.32
"398" 391 488 328.56
"399" 392 10 20.23
"400" 393 133 101.33
"401" 394 18 10.2
"402" 395 207 166.04
"403" 396 40 20.93
"404" 397 62 38.39
"405" 398 19 15.37
"406" 399 159 111.83
"407" 400 25 29.23
"408" 401 233 122.55
"409" 402 190 111.26
"410" 403 377 246.69
"411" 404 9 4.01
"412" 405 23 20.35
"413" 406 320 174.86
"414" 407 74 63.92
"415" 408 4 2.3
"416" 409 95 36.91
"417" 410 71 232.49
"418" 411 236 133.12
"419" 412 238 118.44
"420" 413 93 50.16
"421" 414 32 36.4
"422" 415 90 46.15
"423" 416 95 94.39
"424" 417 1 0.83
"425" 418 55 30.82
"426" 419 129 85.68
"427" 420 328 293.68
"428" 421 112 46.7
"429" 422 33 22.46
"430" 423 20 8.87
"431" 424 416 224.32
"432" 425 86 40.36
"433" 426 19 19.55
"434" 427 184 134.79
"435" 428 105 45.04
"436" 429 22 23.64
"437" 430 2 0.29
"438" 431 71 89.6
"439" 432 311 232.7
"440" 433 74 46.57
"441" 434 646 495.41
"442" 435 212 126.33
"443" 436 222 154.83
"444" 437 102 66.19
"445" 438 451 359.04
"446" 439 96 78.33
"447" 440 132 78.47
"448" 441 15 8.16
"449" 442 1157 544.33
"450" 443 35 35.09
"451" 444 14 59.65
"452" 445 704 402.88
"453" 446 145 142.25
"454" 447 129 158.07
"455" 448 16 13.51
"457" 449 45 42.28
"458" 450 51 42.56
"459" 451 17 10.41
"460" 452 171 168.53
"461" 453 609 343.91
"462" 454 86 55.11
"463" 455 34 25.51
"464" 456 27 31.89
"465" 457 206 186.8
"466" 458 231 217.41
"467" 459 11 10.53
"468" 460 119 68.64
"469" 461 163 82.65
"470" 462 64 40.01
"471" 463 205 104.4
"472" 464 351 255.6
"473" 465 171 95.68
"474" 466 173 85.46
"475" 467 323 225.08
"476" 468 52 45.16
"477" 469 453 227.02
"478" 470 104 52.26
"479" 471 65 99.92
"480" 472 384 195.87
"481" 473 97 56.87
"482" 474 379 195.82
"483" 475 122 106.85
"484" 476 26 13.64
"485" 477 230 213.68
"486" 478 39 68.47
"487" 479 144 63.28
"488" 480 220 152.03
"489" 481 60 31.28
"490" 482 117 50.32
"491" 483 235 138.36
"492" 484 82 47.8
"493" 485 13 19.22
"494" 486 94 64.53
"495" 487 490 269.68
"496" 488 115 130.88
"497" 489 168 188.42
"498" 490 41 19.04
"499" 491 129 70.18
"500" 492 37 30.14
"501" 493 37 36.93
"502" 494 29 39.5
"503" 495 17 26.42
"504" 496 241 236.28
"505" 497 44 23.38
"506" 498 93 68.31
"507" 499 209 126.78
"508" 500 10 27.49
"509" 501 83 49.6
"511" 502 68 122.67
"512" 503 13 7.23
"513" 504 23 44.1
"514" 505 110 57.63
"515" 506 133 96.98
"516" 507 4 0.34
"517" 508 92 58.79
"518" 509 65 53.06
"519" 510 51 54.15
"520" 511 101 102.58
"521" 512 317 164.67
"522" 513 45 48.39
"523" 514 26 28.81
"524" 515 57 54.05
"525" 516 44 26.36
"526" 517 37 37.51
"527" 518 17 11.97
"528" 519 81 48.77
"529" 520 26 17.16
"530" 521 12 4.72
"531" 522 160 75.71
"532" 523 289 156.96
"533" 524 16 20.48
"534" 525 89 73.45
"535" 526 58 28.14
"536" 527 274 174.4
"537" 528 289 188.96
"538" 529 135 81.18
"539" 530 2 0.94
"540" 531 115 68.59
"541" 532 19 14.06
"542" 533 191 167.02
"543" 534 44 31.02
"544" 535 114 50.03
"545" 536 44 22.65
"546" 537 53 27.28
"547" 538 149 180.73
"548" 539 160 140.98
"549" 540 13 12.7
"550" 541 100 104.62
"551" 542 33 29.4
"552" 543 288 168.07
"553" 544 59 53
"554" 545 142 129.6
"555" 546 22 12.17
"556" 547 230 158.76
"557" 548 59 39.89
"558" 549 19 29.18
"559" 550 327 248.1
"560" 551 9 6.72
"561" 552 16 11.91
"562" 553 379 236.68
"563" 554 22 39.4
"564" 555 81 50.59
"565" 556 171 104.63
"566" 557 30 28.76
"567" 558 90 247.21
"568" 559 69 46.08
"569" 560 22 23.13
"570" 561 44 24.82
"571" 562 8 6.56
"572" 563 19 9.93
"573" 564 29 25.91
"574" 565 25 30.52
"575" 566 71 33.98
"576" 567 165 158.39
"577" 568 199 81.69
"578" 569 93 63.88
"579" 570 23 17.87
"580" 571 166 158.65
"581" 572 12 6.34
"582" 573 74 40.86
"583" 574 43 84.39
"584" 575 139 155.77
"585" 576 120 79.21
"586" 577 30 25.67
"587" 578 93 341.69
"588" 579 37 168.34
"589" 580 242 235.08
"590" 581 7 25.1
"591" 582 44 22.15
"592" 583 113 104.35
"593" 584 2 2.04
"594" 585 93 55.17
"595" 586 139 117.87
"596" 587 497 249.09
"597" 588 328 255.08
"598" 589 120 64.44
"599" 590 114 73.07
"600" 591 238 144.49
"601" 592 509 277.15
"602" 593 161 65.54
"603" 594 47 38.01
"604" 595 160 152.25
"605" 596 77 44.61
"606" 597 40 127.82
"607" 598 185 211.93
